receiver_architecture,country,sender_seed,receiver_seed,receiver_stratum,rho_FUNCTIONAL,rho_THETA_RKA,delta_rho
GRU,New Caledonia,123,2025,CROSS_ARCH_CROSS_SEED,2.6239293501497403,1.4681355330780947,1.1557938170716455
GRU,New Caledonia,2025,42,CROSS_ARCH_CROSS_SEED,0.6028831407000838,0.7191881142994498,-0.11630497359936609
GRU,New Caledonia,2025,123,CROSS_ARCH_CROSS_SEED,1.5993106790969773,1.332962398480298,0.26634828061667926
GRU,New Caledonia,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.3037699730380347,0.35005865512049505,-0.04628868208246034
GRU,New Zealand,42,42,CROSS_ARCH_SAME_SEED_ID,0.08135497273835289,0.08191001101211004,-0.0005550382737571496
GRU,New Zealand,42,123,CROSS_ARCH_CROSS_SEED,1.13931990847217,1.1589927005264309,-0.01967279205426098
GRU,New Zealand,42,2025,CROSS_ARCH_CROSS_SEED,1.3561478283089385,1.3491444770925372,0.007003351216401388
GRU,New Zealand,123,42,CROSS_ARCH_CROSS_SEED,0.7579835340863544,0.7840400406414509,-0.026056506555096504
GRU,New Zealand,123,123,CROSS_ARCH_SAME_SEED_ID,0.052837831505258434,0.08689672452239108,-0.03405889301713265
GRU,New Zealand,123,2025,CROSS_ARCH_CROSS_SEED,4.8574775164083634,4.876324961950247,-0.018847445541883445
GRU,New Zealand,2025,42,CROSS_ARCH_CROSS_SEED,0.6417579032732813,0.6379139840038578,0.0038439192694235125
GRU,New Zealand,2025,123,CROSS_ARCH_CROSS_SEED,1.5628378920488843,1.6050322705555566,-0.04219437850667229
GRU,New Zealand,2025,2025,CROSS_ARCH_SAME_SEED_ID,0.40520924181098067,0.5550392996920932,-0.14983005788111253
GRU,Northern Mariana Islands,42,42,CROSS_ARCH_SAME_SEED_ID,0.47857694189370675,0.518534564561489,-0.0399576226677823
GRU,Northern Mariana Islands,42,123,CROSS_ARCH_CROSS_SEED,0.22303774239234528,0.2034237176627793,0.01961402472956597
GRU,Northern Mariana Islands,42,2025,CROSS_ARCH_CROSS_SEED,6.024571868942808,6.293526634128114,-0.26895476518530614
GRU,Northern Mariana Islands,123,42,CROSS_ARCH_CROSS_SEED,1.189681627441445,2.605068007252028,-1.415386379810583
GRU,Northern Mariana Islands,123,123,CROSS_ARCH_SAME_SEED_ID,0.531792374410689,0.17681442387298127,0.35497795053770775
GRU,Northern Mariana Islands,123,2025,CROSS_ARCH_CROSS_SEED,3.1911052988019897,7.066977417622195,-3.8758721188202054
GRU,Northern Mariana Islands,2025,42,CROSS_ARCH_CROSS_SEED,2.7179991058064927,2.712859615555448,0.005139490251044876
GRU,Northern Mariana Islands,2025,123,CROSS_ARCH_CROSS_SEED,2.5128988239016468,2.2732781839615956,0.23962063994005112
